 id , timestamp , ax , ay , az , gx , gy , gz , mx , my , mz , t , p , h , l , n 
CISS_1_244B2207551B8950,1573311891499,,,,,,,13,-41,36,,,,,
CISS_1_244B2207551B8950,1573311891499,,,,-3,-18,-3,,,,,,,,
CISS_1_244B2207551B8950,1573311891598,888,275,-892,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311891598,,,,,,,15,-43,31,,,,,
CISS_1_244B2207551B8950,1573311891599,,,,-71,3,-29,,,,,,,,
CISS_1_244B2207551B8950,1573311891697,640,267,-831,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311891698,,,,,,,19,-41,27,,,,,
CISS_1_244B2207551B8950,1573311891698,,,,-68,54,-22,,,,,,,,
CISS_1_244B2207551B8950,1573311891797,655,324,-626,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311891798,,,,,,,20,-40,21,,,,,
CISS_1_244B2207551B8950,1573311891798,,,,-59,45,-6,,,,,,,,
CISS_1_244B2207551B8950,1573311891896,644,361,-562,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311891897,,,,,,,17,-40,17,,,,,
CISS_1_244B2207551B8950,1573311891898,,,,-35,32,0,,,,,,,,
CISS_1_244B2207551B8950,1573311891969,,,,,,,,,,26.9,,,,
CISS_1_244B2207551B8950,1573311891969,,,,,,,,,,,,47.86,,
CISS_1_244B2207551B8950,1573311891969,,,,,,,,,,,1006.3,,,
CISS_1_244B2207551B8950,1573311891969,,,,,,,,,,,,,0,
CISS_1_244B2207551B8950,1573311891996,716,400,-655,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311891997,,,,,,,15,-36,13,,,,,
CISS_1_244B2207551B8950,1573311891997,,,,-25,1,-3,,,,,,,,
CISS_1_244B2207551B8950,1573311892096,718,468,-646,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311892096,,,,,,,16,-34,10,,,,,
CISS_1_244B2207551B8950,1573311892097,,,,10,-1,3,,,,,,,,
CISS_1_244B2207551B8950,1573311892195,708,456,-653,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311892196,,,,,,,15,-32,5,,,,,
CISS_1_244B2207551B8950,1573311892197,,,,77,5,7,,,,,,,,
CISS_1_244B2207551B8950,1573311892295,712,232,-794,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311892296,,,,,,,18,-33,7,,,,,
CISS_1_244B2207551B8950,1573311892296,,,,159,-35,10,,,,,,,,
CISS_1_244B2207551B8950,1573311892395,694,-33,-743,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311892395,,,,,,,13,-41,21,,,,,
CISS_1_244B2207551B8950,1573311892396,,,,286,-39,-8,,,,,,,,
CISS_1_244B2207551B8950,1573311892494,642,-296,-901,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311892495,,,,,,,9,-46,40,,,,,
CISS_1_244B2207551B8950,1573311892495,,,,79,-12,4,,,,,,,,
CISS_1_244B2207551B8950,1573311892594,636,-392,-757,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311892595,,,,,,,12,-43,51,,,,,
CISS_1_244B2207551B8950,1573311892595,,,,56,-6,7,,,,,,,,
CISS_1_244B2207551B8950,1573311892693,638,-380,-733,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311892694,,,,,,,9,-42,67,,,,,
CISS_1_244B2207551B8950,1573311892695,,,,57,-10,6,,,,,,,,
CISS_1_244B2207551B8950,1573311892793,626,-466,-634,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311892794,,,,,,,9,-37,71,,,,,
CISS_1_244B2207551B8950,1573311892796,,,,71,-9,0,,,,,,,,
CISS_1_244B2207551B8950,1573311892893,605,-591,-591,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311892894,,,,,,,10,-36,74,,,,,
CISS_1_244B2207551B8950,1573311892894,,,,50,-5,3,,,,,,,,
CISS_1_244B2207551B8950,1573311892969,,,,,,,,,,26.9,,,,
CISS_1_244B2207551B8950,1573311892969,,,,,,,,,,,,47.85,,
CISS_1_244B2207551B8950,1573311892969,,,,,,,,,,,1006.34,,,
CISS_1_244B2207551B8950,1573311892969,,,,,,,,,,,,,0,
CISS_1_244B2207551B8950,1573311892992,610,-564,-507,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311892993,,,,,,,12,-32,82,,,,,
CISS_1_244B2207551B8950,1573311892993,,,,11,0,4,,,,,,,,
CISS_1_244B2207551B8950,1573311893092,614,-587,-417,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311893093,,,,,,,9,-29,86,,,,,
CISS_1_244B2207551B8950,1573311893093,,,,54,-3,0,,,,,,,,
CISS_1_244B2207551B8950,1573311893191,605,-638,-484,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311893192,,,,,,,10,-22,89,,,,,
CISS_1_244B2207551B8950,1573311893194,,,,28,0,-5,,,,,,,,
CISS_1_244B2207551B8950,1573311893291,558,-612,-745,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311893292,,,,,,,9,-23,88,,,,,
CISS_1_244B2207551B8950,1573311893292,,,,-206,29,30,,,,,,,,
CISS_1_244B2207551B8950,1573311893390,622,-466,-704,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311893391,,,,,,,9,-29,80,,,,,
CISS_1_244B2207551B8950,1573311893392,,,,-91,8,0,,,,,,,,
CISS_1_244B2207551B8950,1573311893490,614,-409,-708,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311893491,,,,,,,9,-41,70,,,,,
CISS_1_244B2207551B8950,1573311893493,,,,-38,3,1,,,,,,,,
CISS_1_244B2207551B8950,1573311893590,620,-376,-700,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311893591,,,,,,,5,-40,70,,,,,
CISS_1_244B2207551B8950,1573311893591,,,,-39,9,1,,,,,,,,
CISS_1_244B2207551B8950,1573311893690,642,-283,-763,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311893690,,,,,,,9,-42,66,,,,,
CISS_1_244B2207551B8950,1573311893691,,,,-78,12,0,,,,,,,,
CISS_1_244B2207551B8950,1573311893789,661,-177,-755,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311893790,,,,,,,8,-44,54,,,,,
CISS_1_244B2207551B8950,1573311893790,,,,-51,16,-3,,,,,,,,
CISS_1_244B2207551B8950,1573311893889,657,-165,-769,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311893889,,,,,,,7,-45,52,,,,,
CISS_1_244B2207551B8950,1573311893890,,,,-35,1,1,,,,,,,,
CISS_1_244B2207551B8950,1573311893969,,,,,,,,,,26.9,,,,
CISS_1_244B2207551B8950,1573311893969,,,,,,,,,,,,47.85,,
CISS_1_244B2207551B8950,1573311893969,,,,,,,,,,,1006.36,,,
CISS_1_244B2207551B8950,1573311893969,,,,,,,,,,,,,0,
CISS_1_244B2207551B8950,1573311893988,665,-87,-800,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311893990,,,,,,,6,-46,53,,,,,
CISS_1_244B2207551B8950,1573311893990,,,,-65,-2,-3,,,,,,,,
CISS_1_244B2207551B8950,1573311894088,665,-52,-794,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311894089,,,,,,,8,-44,44,,,,,
CISS_1_244B2207551B8950,1573311894089,,,,-44,0,0,,,,,,,,
CISS_1_244B2207551B8950,1573311894188,667,78,-765,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311894188,,,,,,,9,-44,38,,,,,
CISS_1_244B2207551B8950,1573311894189,,,,-32,2,-4,,,,,,,,
CISS_1_244B2207551B8950,1573311894287,692,169,-776,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311894288,,,,,,,9,-44,32,,,,,
CISS_1_244B2207551B8950,1573311894288,,,,-47,10,-6,,,,,,,,
CISS_1_244B2207551B8950,1573311894387,689,179,-755,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311894387,,,,,,,11,-45,26,,,,,
CISS_1_244B2207551B8950,1573311894388,,,,-51,8,-5,,,,,,,,
CISS_1_244B2207551B8950,1573311894486,708,275,-730,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311894487,,,,,,,10,-41,24,,,,,
CISS_1_244B2207551B8950,1573311894487,,,,-67,-2,-12,,,,,,,,
CISS_1_244B2207551B8950,1573311894586,716,361,-722,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311894587,,,,,,,10,-40,15,,,,,
CISS_1_244B2207551B8950,1573311894587,,,,-15,10,2,,,,,,,,
CISS_1_244B2207551B8950,1573311894685,710,269,-657,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311894686,,,,,,,13,-40,15,,,,,
CISS_1_244B2207551B8950,1573311894687,,,,11,-1,6,,,,,,,,
CISS_1_244B2207551B8950,1573311894785,718,312,-708,,,,,,,,,,,
